text,gender
wishbonecon are u going to the 1.30 one ??,1
hakeem_nlt boii make the wafflw link to the reference then the word count should clear up lol,0
"https://t.co/nrn2mgld2e
am i the only one who loves the part with merlin and regina's face? :d ouat",1
"harry_styles always remember, never forget you're the best and the greatest in the world just being you always you till the end of time you",0
the politics of evidence  results in international development. https://t.co/t7n2c2ttbf - looks great. h/t duncan_ids rosalindeyben ,0
"please god, let me get a house that has a fireplace in the bedroom!! i have such great ideas for such a room..",1
that's the 8% they have hidden.. umph. https://t.co/onebbsag93,1
wigingtonlinda that's nice for this time of the year. tomorrow they say it should be around 20,1
"surgical enhancements are for a different part of the body, and, i was kidding...",0
i swear if she touches me one more time. ____ she pisses me off. it's stupid cause my friends fall for the trick as well _,0
"she is not beautiful m, and i'm talking beyond the superficial beauty.",0
bad day in the office - but nice to catch up with thedjbrisk so wish we had more time to catch up x,1
"james walter invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order.",1
lov3rzworldwide say he is the one. the eternal. he doesn't have kids nor did anyone have him. there is nothing like the one.,0
now i changed! i'm not the same man i once yesterday it's for the better watch &amp; take notes,0
amazing: see igbo village in the united states ofamerica https://t.co/z8a95haqpe https://t.co/qdq6hne735,1
"r_m_appleyard alarm wont work as you can't time the stops in leeds. too much traffic ect. a 20min bus ride can take 50 or 12 mins, ya know?",1
"akinator, the genie app, just guessed that i was thinking of  katniss everdeen's daughter what? how?",1
"tekifyuk i am trying to unbrick my kindle fire, with a red screen. i followed your youtube video, and am using the unbrick tool.",0
if you say someone like wale or meek or wiz has gotten big in the past five years you're a moron. they were big in the mixtape game.,0
move of the week double leg stretch _ : https://t.co/kxkcefuxqb ... https://t.co/n7ptohgapq,1
"repcomstock you are supporting the father of the sequester for speaker. cut vet pensions, military, medicare. shame on you",1
reimagining the webdesign process by invisionapp - https://t.co/vmb0ozu67e https://t.co/hflwr8tfol,0
deptulahasrage clemson only need to stack the line against fsu then they may not even score,0
i can see now that there's no way i'm going to resist this shattered empire business. the noto cover alone! https://t.co/nlmic5xdmp,1
cringe_channel chris chan has the fame,0
the accuracy though lol  https://t.co/frfforeelc,1
"im weakkkkk_____
tbh thats the only way to shut down girls who flex",0
"thanks to the aca more adults are eligible for medicaid in illinois &amp; able to apply online.  younginvincible

https://t.co/cfwllqv4k9",1
"ibmsocialbiz: in the future, there will be a narrowing of the gap of people's abilities to use tools proficiently. jennifermcclure h2hchat_",1
chris got on the black toe 1s __,0
iampoojabalaji the day after his wedding anniversary... sucks to suck,1
when you're 20 mins early to an advising appointment but the bitch before you goes over by 10 mins_,1
https://t.co/erogwtoizo sissy۪s wife loved the l choosing lingerie  a very important role for sissy https://t.co/srf506oshy,1
paulmgardner cwellssun i knew a guy who was in the military who used it because it doesn't show up on drug tests.,0
"my mom listening to ""hello"" what's happening to the world",0
"if ion work one job , i work the other .",1
lrt me at work allllllllllllllll the time!!!!!,1
"flexible diet plan: revealed for the first time, secret methods for losing weight, without having to give up_ https://t.co/ygqyyvcyki",1
total loss of respect for the little twat https://t.co/eqstpyjeck,0
"he needs his own intro for when you pick up the phone 'clifford ellis, the greatest brocker in the world' lmfao",0
fortune favors the funny in guatemala election: https://t.co/e1qa16awek https://t.co/c8nvjn3van,0
megwacha actually the uc announcement seems like it could be related to that.,0
would the affair۪ be easier to watch if the kids weren۪t such brats? [spoilers]: the showtime series the affa... https://t.co/o6jpvaufdz,1
"nbd, this comet is spewing gallons of wine in space: scientists have discovered that the comet lovejoy is spew... https://t.co/42fa4wwoa1",1
stats for the day have arrived. 1 new unfollower. stats via https://t.co/vumdkp70a7.,0
vivienleigh gone with the wind clark gable vivien leigh photo https://t.co/yvo2b34jrw film actress,1
good seeing you tonight caspar_lee _ enjoy the film xx,1
"kaito's song is about chasing after an idealized version of himself, but in the real world, he's alone. starmyu https://t.co/tvlbxrymrk",0
photo: the fellowship of the ring: book one in the lord of the rings_: https://t.co/4a1v5wddd4 https://t.co/hyosq3fr5e,1
"i kept telling myself the temptations would let me in,
and they did.",1
photo: snow queen - vlad barbe | kids &amp; family |716822518: the snow queen is a fairy tale by hans christian... https://t.co/cc4qqnhvjy,0
"fool me three times, fuck the peace signs
load the chopper, let it rain on you",1
"the worldesp eqanon islandneeds more people like eqcompliments, horseshowtutor, studioonwhitney, dejavueq &amp; athleticeq amazingladies",1
bentorkington nzinlandrevenue ...don't bother with kiwisaver until the kickstart fund is restored,0
"no matter the results, words can't express how proud i am of csunfasa! all the dedication these new &amp; old members gave left me speechless!",1
hello from the... nah,1
"""came into the game when white rappers weren't a cliche""

classified spittin' that truth",0
evinelive yep just had to wait until the next day,1
thacelebritea seen on the scene: spotted ravensymone out and about earlier this week [r.p theybfdaily ] https://t.co/sjnh93a0l3۝ ,1
"justinbieber  too much swag the acoustic version. you are too cool, kept silent makes me laughter has the end with vibratos lol __",1
listen to johnmdonnelly discussing his exclusive reporting on potentially fatal flaws in f35 ejector seat https://t.co/rz1bekby6p cqnow,1
barcampphilly flipperpa yes! would love to throw in the hat in for a couple local folks over at iqmediacorp. happy to arrange a meet.,1
"coffee taster's flavor wheel from the scaa
coffee
https://t.co/golukszolu https://t.co/hjhczkaiqy",0
we have a chance for the first time in decades to elect someone who will not be owned by lobby groups or big corporations. or saudi arabia,0
finally realized i'll never get the answers i want,1
i saw and met marinasdiamonds five months ago today.  i'm forever grateful for the opportunity i was given. _ե__ https://t.co/vlrcsnqn2i,0
"starbucks mobile ordering comes to the uk - mobile marketing https://t.co/yecuganjly
emarketingmkt412",1
the little things you do always get me heated,0
pennsylvania believing in yourself is the first secret to success! https://t.co/9sipl3vcxe,0
"corporate welfare is the worst. dark funds for the military industrial complex is another. 

all these posts with... https://t.co/awmdynzfxz",0
"rapper tyga to appear on the next season of kuwtk and he will get $25k per appearance
- see more &gt;&gt;... https://t.co/b1rw1lkjhg",0
"earth teach me quiet ~
.
.
.
as the grasses are still with new light.",1
"starsandglitta _х_ُ_i'm not for the fake friends, good day _",1
nothing like the midwest. had a great weekend at the ruffin's wedding. im glad we all came together_ https://t.co/drk2ukekxv,0
take me back to the time when your clothes took up my drawers,1
"mentally ill woman with her two pink-dyed poodles threatened to shoot someone, followed by the throwing 1/2",0
"ell_morton i just face timed him like 5 mins ago and they're  the airport in dallas, getting a plane in 2 hours. they're okay __",1
"luv them photo https://t.co/temknk17ao for the best busty boobs click here or on imagebustyfriends bignaturals, b_ https://t.co/rsbkiea90u",1
the woes_____ https://t.co/cxwhx6dtgw,1
isis launches bizarre new weapon in war against the infidel _ floating condom bombs video | bb4sp https://t.co/c4na4cc4dk,1
too excited to spend my halloween night in the pit with sigmonmakenzie &amp; chrisyoungmusic _ٍ___,1
"at steidl &amp; steinberg, we understand that owing money to the irs or the state is scary. we can help: https://t.co/ric1ohcd1a",0
1 amazing follower in the last week and there will be more tomorrow. growing with https://t.co/mijn2phyly,1
"drugs, greed, and kidnapping  plague dani and liz - bluewater ganja, 9th of the bluewater thrillers ian1 sailing https://t.co/60brkidlap",0
isis launches bizarre new weapon in war against the infidel _ floating condom bombs video | bb4sp https://t.co/ffjxmicet7,0
nataliaa_45 caspar_lee my phone and ipad are going out the window in a minute omg i cant breathe joe faved caspar said that and i met joe,0
the sky is making weird ass noises,0
mt nytimesarts: the longest-running play in america is set to open in nyc for the 1st time https://t.co/65oiqvi9m8 https://t.co/6wify90anm,0
voteonedirection onedirection amas artist of the year  https://t.co/pndv9mycvy,1
alysha is half mom and half worlds greatest friend of the group,1
the creeps again cocom2z  https://t.co/8ztkjxon8v,1
and that i'm apparently in a contract despite the whole spiel about no contracts when i got my phone. .verizon,0
the one you fall in love with you should feel like nothin else matters.. fr,0
the fate of europe۪s net neutrality will be decided tomorrow https://t.co/zgqa8d49qx https://t.co/5qk8zdnpqq,1
got the job _,1
selling the recruiting process isn۪t a gamble - https://t.co/qbsl8ix3dy hr thecandes tchat hrtechconf,0
"i just bought tickets for post war glamour girls  at the cookie, leicester from https://t.co/bp7thghf37! https://t.co/efu07v6cn3 via ents24",1
"crowmatriarchy suzuyin breadfuck the likeness of your face is purely disgusting. i mean, honestly. look at yourself in the mirror for mor",1
the role of the hippocampus in long-term memory https://t.co/srcxtbyrmc,1
stats for the day have arrived. 1 new unfollower. stats via https://t.co/dzu9hx59yb.,0
october and the apostrophe https://t.co/mhng687f9w publishing authors,0
720p option is the best,0
"artistoftheyear onedirection amas 

from all the four albums we heard mm is my fav but it could be changed rly fast when i hear the fift",1
fantastic launch by snapdeal all apps now run smoothly on oneplus one thanks to the quad core processor! https://t.co/2yma7r3pcu 4742,0
7 new unfollowers and 5 new followers hello! hello! in the last week. via https://t.co/wl2crq09dv,0
"except for a couple of broken plays, the jets did a really good job countering what new england does well on o and exploiting d weaknesses",0
look at ken barlow putting it on audrey roberts the old rascal!,0
amandadybwad the fact is that i don't need/want anyone _,1
be in the lookout!!! ___ https://t.co/dfzqv6kjbh,0
lindsaylkin you know there is a squirrel emoji. oh wait your not part of the iphone family _ِ_,1
"tombertram91 no way! you're going to be the opening act, aren't you?!",1
nba im hyped bc im so excited for the new season play offs! and who's team will win and who'll be the star!_ُ thisiswhyweplay sweepstakes,0
photo: the chronicles of emerland. solitaire. games adventure mac app ***** $4. _: https://t.co/xcjnfyapvw https://t.co/jrlgh3fnsg,1
hey guys i've decided i'll be on maybe for 20 minutes the most each day !,0
axeslasher metalshayne2000 i was super hooked on the woodland tortuary talk.,0
coming in here with the worst attitude while i'm trying to help them _,1
hot of the presses! https://t.co/fzk5fjswej,0
stloto any update when you can use the site again?,0
thanks winkmartindale for the shout out! i۪m looking pretty good for 75! famousname https://t.co/umrfoswy0u,0
also where are all of steven's interviews? emily did about 7 million after beth died &amp; so did all the other actors afterwards so,1
bethneilson12 happy birthday beth!! hope you had the best day ____,1
this is still the sweetest thing ever to me. and you two made my night. https://t.co/nms52uverj,1
savagejaspy i like the purple but you seem more of a green person?,1
i am fairly normal for someone who could've died the other night tho,0
people saying nice things about this game in particular makes me feel like maybe i'm doing the right thing after all https://t.co/9zrbuy19fy,1
at a kid's party and we were the ones getting fun out of the balloons. we can never take any_ https://t.co/0mtdf9cmgr,1
"now , you re already have the one . appreciate him as well .",1
"via jewish voice for peace "" analysis of ""racist, blame-the-victim"" arguments which ""dehumanize palestinians and... https://t.co/ftku2rmqn1",0
congrats!!! enjoy the gc and new phone!!! thedomesticexec dmthoma treatyourfamily,1
"if the game tonight can hit 39 total points or more, 11 $5 scratch offs will be coming my way",0
"gala bingo clubs bought for 241m: the uk's largest high street bingo operator, gala, is being taken over by_ https://t.co/t7uojvqqjt",0
josefranco_ daily caller always wins the contest to most quickly take my joking tweets entirely too seriously,0
onedirection artist of the year amas https://t.co/dsjn39gzs1,0
rightwerk musicnews_facts isn't she the one that hated on a dude for wearing a suit,1
remember when esteban was calling the dead but got put on hold https://t.co/xj1tjd8d5z,1
cinebroughton 1 more hour until spectre red bull at the ready 007,0
do americans find it weird to eat fries with mayo cos we do it all the time,1
thanks dj polish sausage for the follow!,0
a sample of the fall colors we encountered during our day hike to mount leconte. this picture was_ https://t.co/qlz7fookm4,0
when u find out ur advisor put u in all the wrong classes this semester so ur a year behind _٪,1
i'm loving the harrypotter sky channel ϭ_ө,1
tell senatedems to stand up to monsanto and protect gmo labeling. sign the petition: https://t.co/sl82i7iqh8 p2 righttoknow darkact,0
fitstar i just sent you a dm describing the issue and the email address associated with my account.,0
last week a teacher said that going to an hbcu doesn't give you an accurate perception of what the world is like and i'm still not over it,1
ican turn from side to side in this damn bed w/o havin to sit all the way up!,1
win the fight kns . pushawardskathniels,1
news amazon celebrates new vinyl store in unveiling the ۪13 day vinyl_ https://t.co/olkfmammtc edm  followback https://t.co/z0cq8di0sp,0
mdeedoubleyou the fact that i miss you so much makes me want to cry. i'm dropping out just so i can move to cali. ,1
bekkimarshall3 haaa _ just put your lipstick over it you'll have the perfect pout _,1
rose to play without minutes restriction in season opener: the chicago bulls will open a new era under coach f... https://t.co/6ec5ndjw9w,0
holiday candy course: learn the art of gourmet candy making and make gourmet chocolates in your own kitchen! https://t.co/j1bkkeiqba,1
starting to like the new conner family a little coronationstreet,1
colt here! be sure to nicole &amp; colt edwards group! 10/27 we will start our fun and games for the release of reckless!...,0
1 new unfollower in the last day. via https://t.co/k1sasmdleb,0
that۪s the way you drop em۝ - bigtits boobs tits - https://t.co/wv3mjvxxd2 https://t.co/h8p2exmwqx,1
when i'm working out&amp;i'm so exhausted i feel like breaking down any sec listening to hall of fame always gives me the kick i need to go on_ջ_ُ_,1
"mens shirt breakingbad walt ""i am the danger white tshirt size: medium **new** https://t.co/ds5zl3iodk bestseller auction",1
literally looking up old songs for the rest of the day,1
prestigediesels yeah... i had to nail my mat to the floor! leahrebeccauk,0
the ada and you. how does this regulation affect your office? askhcsi https://t.co/i3clomkemd,0
katheintellect easy af that you left the pencil huh lol,1
would the affair۪ be easier to watch if the kids weren۪t such brats? [spoilers]: the showtime series the affa... https://t.co/pzu4g93ado,0
preparing for the worst but still praying for the best!,1
maxschrems check out work on the consent receipt۝ and safe harbour via consent analysis https://t.co/r5shghcsxe,0
im never goin find the right girl,0
dude the jamaicans ___ https://t.co/e1mdvu2pqn,0
"scotthoying ""we could be kings of the world"" ______",1
"d_bbach yes and no. they were bad last night, but bradford also has the 2nd-worst off-target % in the nfl. goes both ways.",0
massimolandi newyork newyorkcity nyc the wall street bull economia economics https://t.co/0rqkg8q5ab,0
"hi harry_styles ,thank you for being
so nice. you're my fave art but even
the best artist couldn't draw you  .
follow me, please? 79,605",1
quad and a half kills to start off the round! 27/6 block party.  play on pc? slip into my_ https://t.co/fecwouecfu,0
"now back to this bitch that thinks it's okay to that the n word, dinahfatty what's good?",1
trey wingo just did a jim halpert look to the camera when herm edwards was talking,0
lets not forget the running backs too..if you can even stop the pass game. they have a pretty skilled lineman at fullback.. bruh,0
i want the new and old...i want the f5...i want a rehaul...i want what vanneka wants,1
wondering how to grow on twitter? i gained 107 followers in the past week. this is the app: https://t.co/eucgj9sjxk,1
photo: elite squad: the enemy within - jos̩ padilha | action &amp; adventure |490521733: elite squad 2 is a... https://t.co/hajijeg0oj,1
i just finished htgawm and so much was revealed in the last 3 minutes i think dying,1
who is going to be the first one to say goodbya,0
side nikka of the year __,0
review: notorious rbg: the life and times of ruth bader ginsburg۪ https://t.co/0be9exes0r,1
"im a huge fan of the patriots, but some of you are just ignorant",0
leonardo davinci~ just as iron rusts from disuse even so does inaction spoil the intellect.,1
photo: the future of the internet - stanford continuing studies program | computer science |384229952: the... https://t.co/ob6plwd3du,1
photo: persian circle - the university of chicago | middle eastern studies |391212381: persian circle the... https://t.co/tsbvgrt7ep,1
view from the west stand is pretty much going to write itself when we play staines. perfect draw for me. lofc,0
"hoarding voiture, be possessed of the benefits together with commbus: ljfxuqxrp",1
wles soa maravilhosp d p se d verdads onedirection artist of the year amas,0
1 new tweep followed me in the last day. i find relevant people to follow with the copyfollowers feature of https://t.co/wtkuzzjhz0,1
dwts360 interesting. thanks for the read. _ԏ  https://t.co/uw9vnuzw91,1
"""all of the computer hacking techniques described are real."" social engineer is currently free https://t.co/rctwv97bpy kindle mystery",0
put away for the plain style in order to the greenpoison: afnxwkg,1
thanks vincent r. photog for the follow!,0
photo: raabs-an-der-thaya holiday in the waldviertel raabs-an-der-thaya raabs an der _:... https://t.co/b7p6zbmh1p,1
likeimtayha ight got you about to dm you the credits thing hold on real quick driving real quick got to log in my bmi,0
dharma bums. better than on the road...making the bold statements today. so brave of me. https://t.co/riy6hpzvdd,0
"following wwehiac and ahead of raw tonight, here's how i'd book wwebraywyatt to be a monster by wrestlemania 32 https://t.co/hzaoqcvsm8",0
for the best vpn exponent in order to yours crew wants: ocqgih,1
photo: the back of the pumpkin me and lily did. halloween pumpkin pumpkin carving https://t.co/rpq2akbwbh,1
mlg time on the bus https://t.co/t9re2avycm,0
listen: harry_square - the pig hunter burakandemre rmx on renaissancepodcast 22/10/15 https://t.co/bs9dfvbpiv dj edm madeinitaly,0
i added a video to a youtube playlist https://t.co/jtvsol8jk0 jem reacts - to the new jem and the holograms trailer,0
seems as though someone has something in the works. https://t.co/bccwhs3xbd,0
in the history... https://t.co/y2brtwmf7c,1
get in the outdo c preliminaries turn on so as to yours needs: stpikn,1
the house science committee is worse than the benghazi committee https://t.co/khdezwhpvg,0
the best thing in the world is knowing i'm yours and you're mine.,1
samd96 and we have to listen to christmas carols the whole way there,0
harley_b_x the little smiley face,0
oomf is so cute without the e i swear boy.,0
sheeb_ moni_2698 peep me in the back,1
hunterfsu06 i say it caps bcus it's  simple and being made complicated. actually performing is a big part of winning. all of the above.,0
where was i when the good ones were being taken??,0
mcg cmk the movement fr ' and stop all this fake claiming yall ain't with the gang ___ɡ_٠,0
"i wish it was""valkyrie_law: um sure the feeling is no mutual lol https://t.co/0n0ohz2bxl""",0
you'll pull back when a man says our out of line but when the woman your dissing does you don't care :-/,1
happy happy happy belated birthday to the one and only dirtydonniedamnit kristian bruun!!! thebruun_ https://t.co/53idwuehee,1
our table mates in the beautiful room barnstaplehotel for ndjournal fooddrinkandtourismawards https://t.co/yrqx0zf60w,1
4allthingsnice i was actually going to make a calendar from all the cat pics i had from my time in greece. i had so many. : travelpics,1
"12 weeks to the day since i had one of the best days with dickiewelch.

it absolutely cannot be 3 months before the next time. _",0
triggered email: the killer conversion app: marketers have been using spray and pray۝ tactics for decades. th... https://t.co/nyxhrmml2p,0
"moratwe_ lol, so you'll hit the low notes __",0
https://t.co/qidhip7tzl one of the greatest unsolved mysteries of all time! thezodiackiller. https://t.co/alttzu5itv,1
the most badass car to date  https://t.co/ki4dd1va8w,0
pqp  onedirection artist of the year amas https://t.co/akjznrhcmc,0
the revelation re the mp3 pugilist yet whichever in order to attend since continuity buy conjoint:: mbcqovo,1
mosdef____ famousass_cj go to the one in clinton.,1
"photo: the news from lake wobegon from a prairie home companion, august 28, 2010 - garrison keillor | _:... https://t.co/zfmmfx0sx6",1
kjinwoos tru but tbh they all left for pretty much the same reason so ppl should either be against all of them or with all of them like ???,1
remember the time you wanted us to race in mexico but the police pulled up... you decided to burn out in their face so they'd chase you...,0
i liked a youtube video https://t.co/up1wgjyapp artists reveal the satanic industry,0
"gala bingo clubs bought for 241m: the uk's largest high street bingo operator, gala, is being taken over by_ https://t.co/ufcwkdyenj",0
andddd i've lost count of how many times i've already watched the almostadultsmov trailer......someone help meeeeeeeeee,1
the most likely next president is hillary clinton https://t.co/nozhchfmzy,1
photo: the case for christ - lee strobel | christianity |387706792: the case for christ lee strobel genre:... https://t.co/n6uegh0enm,1
the rest of these workers are hating cause i do is chill and listen to music . lol,0
mjsdirtydiana what if that person's fear of the outcome stops his or hers actions and words?,0
mattuktweets let's be honest if she went to the average working class college they'd just tell her to piss off.,0
https://t.co/hgpollvmfq one of the greatest unsolved mysteries of all time! thezodiackiller. https://t.co/2erxlc1ubw,1
"elliexcastle fuck that, just stick the weeknd on repeat_",0
photo: the graveyard book unabridged - neil gaiman | kids &amp; young adults |292061896: neil richard gaiman... https://t.co/xmbpwuv7ux,0
vinod khosla steps off square۪s board in advance of its ipo: vinod khosla has stepped down as director on the_ https://t.co/fuosn1q9sk,0
godjoeyy limit the carbs? damn,0
this would be the day that a permanent valencia filter on my face would come in handy... __ yiza nosleep,1
blog me!  https://t.co/wk8hxd0hst  even fat cat hates the twin cities commute! morninggrind950 https://t.co/ebq82sghkb,0
a flash of light: the photographs of e.j. kelty - will kelty | classics |808897125 - see kelty company... https://t.co/u145nw3k7i,0
just agree on custody for the real dad and leave the kids alone for now. he hasn't been clean long enough. drphil  custodydrama,1
cant wait for wednesdays game,1
https://t.co/silseuvxea one of the greatest unsolved mysteries of all time! thezodiackiller. https://t.co/w6jtudvbc5,0
photo: hover disc 2 - the essential multiplayer game games family ipad app ***** $0. _:... https://t.co/pitapstzbj,1
this the only day i came to work without  getting mad __,1
"why do colour dying adverts always have young women in it saying ""see no grey hairs""

who the hell has grey hairs at that age anyways !",1
number crunching for the past day - 1 new follower and no unfollowers. stats via https://t.co/ka95hbpnqx,0
"if you don't ask or try, the answer will always be no.",1
my header i swear its the truth ___ُ___,1
what i would have given to been in the underground club scene in the 90s,1
number crunching for the past day - 1 new follower and no unfollowers. stats via https://t.co/elopdbfe8b,0
girl of the month _ https://t.co/pf6nqgvq1z,1
"zbierband yo zbb, played our last seasonal gig at st. jude.  good times had by all.
remember the more you drink, the better we sound!",0
tvs scooty quintessential featured the two wheeler: jptsx,1
"i wish the real world, would just stop hassling me.",1
thesmithminute i just googled it. the gum looks like big white sheets of paper!,0
wheres the 8th man ? knickfan_4life,0
i hope pierre neuville wins the wsop me. love the way stands there like he's waiting for the guy he just busted to high five him.,0
why they had to be grimy &amp; not count the apple streams how dear they :,0
fall is just across the street. _ٍ_ٍ https://t.co/calsfk3rnl,1
total fail! the funniest people at walmart https://t.co/vez50al3v8 https://t.co/kqdi1u8wei,1
"""should only be disseminated where the express consent of all the parties involved has been obtained.""",1
"animated gif number https://t.co/8iebklzsqz for the best busty boobs click here or on imagebustyfriends hardcore,_ https://t.co/wfr6ak4ar6",1
recreate your turnout near the pitching performances in relation to dj stuttgart: aymzsj https://t.co/lievo3pynx,1
acroasdell do you really like to answer the oncers! you're amazing!,0
"the taming of the queen unabridged - philippa gregory | romance |1023481763 - philippa gregory kenya, 9... https://t.co/dmy1uvct7i",0
let the boy live _ https://t.co/ghnmahzrpk,0
yeah work is not the move_,1
chilling on cubecraftgames in the selfie area ; been sweating out on eggwars all day! bestgamemodever https://t.co/2a7jbozenr,0
what if there was a winter version of the yamaka,1
thomo_grant same situation with how many times the big clubs play each other twice. _յ,0
thanks for the retweets this week sovereignplc adfresco_print much appreciated!,0
jk . im angry all the time about it . hint why i never hang out with you guys,0
katsuraptor i really liked the first 2 ovas but then the third has hour long rape scene in hell and i was like uhhhh i think im out,0
huh. supergirl airs today? aaand now i got disturbing images of jeb sitting in a snuggy in front of the tv with a box of kleenex ready... d:,0
when you get your english classwork all done in the first day it's released _٪_ُ__,0
me when i take selfies v. me when i look at the mirror https://t.co/uqyhcui7mu,1
katlouvain eternally grateful for the woo woos and missing my grubby puffle :,1
lauren holiday retiring is going to hit me the most when they play the next game and she's not in the starting line up _,1
no one wins in the misery olympics lvanderkam on tips from highly successful women. 3percentconf,1
when the homies won't let you out of the group chat .... https://t.co/sszplkoun2,0
rodimusprime is the site down for maintenance?,0
attcares any way to get the phone shipped faster?,0
sometimes to get away from my family i just sit on the loo for four hours straight,1
this company wants to sponsor me and i've been putting them on hold with the promo work.  not because i don't like them i'm just busy rn,1
but why do those easy exams cost so much! the praxis is cheaper. and to top it off i have to pay extra just to get certified lol.,0
askhobo because i told him you were telling the truth,0
"how inflict cbse schools modern kolkata, noida and kochi, staff the relocating parents: eyb https://t.co/k4s00winuh",1
tsmtheoddone shoutout to the crt,0
bigevvy10 agreed. it's also the last thing the cowboys need right now considering how this season has gone thus far.,0
love leaving my shopping on the top of my van and driving off. seeing a loaf of bread and grapes rolling off my windscreen is a great laugh!,0
justmalcom m i need the herb_,1
"i live for the nights i can't remember with people i won't forget _ٍ  sherman oaks, los angeles https://t.co/1xrsynhf8n",0
"a magnificent test flight of the scaled worldviewvoyage capsule. the entire test flight went perfectly, &amp; landing. https://t.co/3dlzi6npyg",0
there isn't ever enough time in the day for all of the homework they give you _,1
lizziecaakes yeah ill send you the flier when i do it today:  costume party,0
the_ambassador_ you can't miss me lol https://t.co/6vytoiv12c,1
onedirection favorite duo or group pop/rock at the amas,0
"drivendiabetic he said it because of my age, technically he's right i'm no spring chicken but still bounced back after my section",1
miraclecharlie take those bags of candy and stick them in the freezer.  it will take you much longer to eat them.,1
business and my own boss 365 days in a year what a difference it makes we all get the same 24hr what are you doing with yours?,1
alhenasmile markgatiiss spectre premiere at the royal albert hall in london,0
me and the goodmen going fuck flowers homecoming up. __ջ,1
don't do something for someone who ain't gonna do the same for you,0
"hi angel niallofficial; i love all the tracks from madeintheam so far, they're amazing! i'm so proud, mind following lifesaver?    12,301",0
dirtysocks66 or ask the jets as they blew a minute by not calling timeouts,0
the four most important symptoms concentrationproblems https://t.co/w7lp6ke2ii https://t.co/1tppgtvdoo,0
"using fresh herbs for cooking, fantastic teas, healing ailments? grow your own herb garden and enjoy the rewards: https://t.co/5np8gapudc",0
1 for me. 25 for the people in line after me. keep calm and rakattack on! yeg https://t.co/715mqx9tgi,0
the cookies look amazing _,1
"why don't all seventeen year old boys look like this, is the real question.  https://t.co/kytkxox5di",1
